name,value,value_count,name_total,pct
Character set '#33' is not a compiled character set and is not specified in the 'c,\mysql\share\charsets\Index' file,1,1,100.0
File 'c,\mysql\share\charsets\?.conf' not found (Errcode: 2),1,1,100.0
!!!Content-Security-Policy,default-src 'self'; script-src 'self' 'unsafe-inline' 'unsafe-eval' *.statcounter *.gravatar.com *.quotepro.com *.processmyquote.com *.jquery.com *.bootstrapcdn.com oss.maxcdn.com stats.g.doubleclick.net *.googleapis.com *.google-analytics.com *.googleadservices.com *.google.com *.cloudflare.com *.wp.com *.quoteprokiosk.com; img-src 'self' data: *.gravatar.com *.bootstrapcdn.com *.interssl.com *.jquery.com stats.g.doubleclick.net *.google-analytics.com *.googleadservices.com *.google.com *.processmyquote.com *.wp.com *.quoteprokiosk.com; style-src 'self' 'unsafe-inline' *.statcounter *.gravatar.com *.bootstrapcdn.com *.processmyquote.com *.googleapis.com *.paypal.com *.jquery.com oss.maxcdn.com stats.g.doubleclick.net *.google-analytics.com *.googleadservices.com *.google.com *.wp.com *.quoteprokiosk.com; child-src 'self' *.statcounter *.bootstrapcdn.com *.quotepro.com *.jquery.com *.processmyquote.com *.google-analytics.com *.googleadservices.com *.google.com *.cloudflare.com *.wp.com *.quoteprokiosk.com; frame-src 'self' *.statcounter *.bootstrapcdn.com *.processmyquote.com aq.processmyquote.com *.quotepro.com *.wp.com *.quoteprokiosk.com; connect-src 'self' *.statcounter *.bootstrapcdn.com *.processmyquote.com aq.processmyquote.com *.quotepro.com *.wp.com *.quoteprokiosk.com,9,9,100.0
!!Content-Security-Policy,,9,9,100.0
!!Public-Key-Pins,"pin-sha256=""base64==""; max-age=expireTime [; includeSubDomains][; report-uri=""http://www.quotepro.com/report.php""]",9,9,100.0
!!Referrer-Policy,no-referrer,9,9,100.0
!!Strict-Transport-Security,max-age=31536000; includeSubDomains; preload,9,9,100.0
!!X-Content-Security-Policy,,9,9,100.0
!!X-Content-Type-Options,nosniff,9,9,100.0
!!X-Frame-Options,ALLOW-FROM https://*.processmyquote.com,9,9,100.0
!!X-Powered-By,QuotePro,9,9,100.0
!!X-XSS-Protection,1; mode=block,9,9,100.0
"""",,68,68,100.0
#,Headers go above this line,81,161,50.31
#,Headers go below this line,80,161,49.69
# frame-src https,//assets.zendesk.com https://www.facebook.com https://s-static.ak.facebook.com https://tautt.zendesk.com; object-src 'none',4,4,100.0
##x-content-type-options,nosniff,7,7,100.0
##x-frame-options,SAMEORIGIN,7,7,100.0
#01,[01:24:39 58813500 DB:GRID3_DATA_RELEASE] Created connection to db: grid3_data_release,1,1,100.0
#02,"[01:24:39 58836200 DB:GRID3_DATA_RELEASE] SELECT * FROM `view_listing` WHERE ( public = 'Y' ) ORDER BY `iso3`, `category`, `version` DESC, `file`",1,1,100.0
#03,[01:24:39 59996500 DB:GRID3_DATA_RELEASE] SELECT DISTINCT `iso3` FROM view_listing ORDER BY `iso3`,1,1,100.0
#04,[01:24:39 60247400 DB:GRID3_DATA_RELEASE] SELECT DISTINCT `category` FROM view_listing ORDER BY `category`,1,1,100.0
